211	"b'I agree Mike - thank you to all of our law enforcement officers! #VPDebate \n\n""Police officers are the best of us...""\n@Mike_Pence'"
212	b'.@HillaryClinton Sneers At Millions Of Average Americans.\nhttps://t.co/gEfURjRCfu \n#VPDebate #BigLeagueTruth'
213	"b'""@GeeVeeM: @realDonaldTrump @Susiesentinel Pence is so prepared! He did his homework to outperform Kaine.""'"
214	b'.@timkaine oversaw unemployment INCREASE by 179,249 while @mike_pence DECREASED unemployment in Indiana by 113,826.\xe2\x80\xa6 https://t.co/wFQM8kg287'
215	"b'""@aldonturnaolco1: @FrankLuntz @marthamaccallum @realDonaldTrump good!!""'"
216	"b'""@bcuzimdamomma: @FreeDavidKing No she only gets #Americans killed #Benghazi - we need @realDonaldTrump #MAGA""'"
217	"b'""@ifdanyt: @realDonaldTrump Loving @mike_pence he\'s so likeable and sensible. Kaine is just talking bull!'"
218	"b'""@carol_lcnixon67: @realDonaldTrump Kaine says Hillary and he have plans. She could care less what Kaine thinks.""'"
219	"b'""@ARSenMissyIrvin: I want a ""you\'re fired"" president with people in Govt who are WASTING my tax $\'s. @realDonaldTrump""'"
220	b'.@mike_pence is doing a great job - so far, no contest!'
221	"b'""@TeamTrump: .@mike_pence &amp; @realDonaldTrump are PROVEN job creators and are prepared to bring JOBS BACK to the American people!'"
222	"b'""@Jnelson52722: @realDonaldTrump @Susiesentinel Kaine looks like an evil crook out of the Batman movies""'"
223	"b'""@elisac006: @nycmia @realDonaldTrump I agree. Kaine looks like a fool!!""'"
224	"b'""@bigdog_joey: @realDonaldTrump @timkaine is so angry. Our @mike_pence looks great. kaine can\'t defend all those lies #makeamericagreatagain'"
